dt_implant;cd_item;ds_nacional;Agrupamento_Item;ds_item;ds_voltagem;Família_(grupos);classificacao_fiscal;cd_ean;DUN-14;Múltiplo_Pedido;peso_bruto;aliquota_ipi;tipo_exclusividade;Origem;BU;Familia_Comercial
2023-06-02;FW009470;WAP ROBOT W95;WAP ROBOT W95;WAP ROBOT W95;BATERIA;Aspiradores Robos;85081100;7899831312498;;1;1.8;6.5;EXCLUSIVO;Estrangeira;TECH;aspirador - robo
2024-01-15;FW010260;WAP ROBOT W90 PÉROLA;WAP ROBOT W90 PÉROLA;WAP ROBOT W90 PÉROLA;;Aspiradores Robos;85081100;7899831334339;;1;0;6.5;EXCLUSIVO;Estrangeira;TECH;aspirador - robo
2022-06-29;FW009026;WAP ROBOT W90;WAP ROBOT W90;WAP ROBOT W90;BIVOLT;Aspiradores Robos;85081100;7899831310982;;1;1.8;6.5;CATALOGO ABERTO;Estrangeira;TECH;aspirador - robo
2024-04-26;FW010505;WAP ROBOT W500 POLICLEANER;WAP ROBOT W500 POLICLEANER;WAP ROBOT W500 POLICLEANER;;Eletroportáteis;84642010;7899831336739;;1;1.16;0;CATALOGO ABERTO;Estrangeira;TECH;polidoras
2023-06-29;FW009590;WAP ROBOT W4000 SELF-CLEANING;WAP ROBOT W4000 SELF-CLEANING;WAP ROBOT W4000 SELF-CLEANING 220V;220V;Aspiradores Robos;85081100;7899831332670;;1;10.32;6.5;CATALOGO ABERTO;Estrangeira;TECH;aspirador - robo
2023-06-19;FW009560;WAP ROBOT W4000 SELF-CLEANING;WAP ROBOT W4000 SELF-CLEANING;WAP ROBOT W4000 SELF-CLEANING 127V;127V;Aspiradores Robos;85081100;7899831332656;;1;10.32;6.5;CATALOGO ABERTO;Estrangeira;TECH;aspirador - robo
2022-11-03;FW009251;WAP ROBOT W400;WAP ROBOT W400;WAP ROBOT W400;BATERIA;Aspiradores Robos;85081100;7899831312047;;1;3.8;6.5;EXCLUSIVO;Estrangeira;TECH;aspirador - robo
2024-10-24;FW011250;WAP ROBOT W310;WAP ROBOT W310;WAP ROBOT W310;;Aspiradores Robos;85081100;7899831341580;;1;3;6.5;CATALOGO ABERTO;Estrangeira;TECH;aspirador - robo
2023-06-19;FW009557;WAP ROBOT W3000;WAP ROBOT W3000;WAP ROBOT W3000;BATERIA;Aspiradores Robos;85081100;7899831332632;;1;5.89;6.5;CATALOGO ABERTO;Estrangeira;TECH;aspirador - robo
2018-07-23;FW006247;WAP ROBOT W300;WAP ROBOT W300;WAP ROBOT W300;BATERIA;Aspiradores Robos;85081100;7898152185552;;1;3.5;6.5;CATALOGO ABERTO;Estrangeira;TECH;aspirador - robo
2021-08-23;FW008615;WAP ROBOT W100C;WAP ROBOT W100C;WAP ROBOT W100C;BATERIA;Aspiradores Robos;85081100;7899831309412;;1;2.6;6.5;EXCLUSIVO;Estrangeira;TECH;aspirador - robo
2023-12-18;FW010142;WAP ROBOT W1000;WAP ROBOT W1000;WAP ROBOT W1000;;Aspiradores Robos;85081100;7899831332618;7899831332618;1;3;6.5;CATALOGO ABERTO;Estrangeira;TECH;aspirador - robo
2019-11-26;FW007429;WAP ROBOT W100;WAP ROBOT W100;WAP ROBOT W100;BATERIA;Aspiradores Robos;85081100;7899831301072;;1;2.6;6.5;CATALOGO ABERTO;Estrangeira;TECH;aspirador - robo
2019-04-29;FW006661;WAP RAJADA PRO 60 PAREDE;WAP RAJADA PRO 60 PAREDE;WAP RAJADA PRO 60 BIVOLT - DE PAREDE;BIVOLT;Ventiladores;84145990;7899831300563;;1;4.9;0;CATALOGO ABERTO;Nacional;SDA - MOTORS & COMFORT;ventilador - de parede
2019-04-29;FW006662;WAP RAJADA PRO 60 COLUNA;WAP RAJADA PRO 60 COLUNA;WAP RAJADA PRO 60 BIVOLT - DE COLUNA;BIVOLT;Ventiladores;84145990;7899831300570;;1;9.6;0;CATALOGO ABERTO;Nacional;SDA - MOTORS & COMFORT;ventilador - de coluna
2021-09-09;FW008636;WAP PULVERIZADOR MANUAL 5L GPM5L01;WAP PULVERIZADOR MANUAL 5L GPM5L01;WAP PULVERIZADOR MANUAL 5L GPM5L01;;Jardinagem;84244100;7899831309672;;1;1.2;0;CATALOGO ABERTO;Estrangeira;DIY;garden manual - pulverização
2022-07-14;FW008635U;WAP PULVERIZADOR 2L GPM2L01;WAP PULVERIZADOR 2L GPM2L01;WAP PULVERIZADOR MANUAL 2L GPM2L01 - UN;;Jardinagem;84244100;7899831311163;;1;0.42;0;CATALOGO ABERTO;Estrangeira;DIY;garden manual - pulverização
2021-09-09;FW008635;WAP PULVERIZADOR 2L GPM2L01;WAP PULVERIZADOR 2L GPM2L01;WAP PULVERIZADOR MANUAL 2L GPM2L01;;Jardinagem;84244100;7899831309689;;1;0.42;0;CATALOGO ABERTO;Estrangeira;DIY;garden manual - pulverização
2007-01-31;31020022;WAP PREMIUM;WAP PREMIUM;WAP PREMIUM 2600 220V;220V;Lavadoras;84243010;7898152182889;;1;18;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - semi intensivo
2007-01-31;31020011;WAP PREMIUM;WAP PREMIUM;WAP PREMIUM 2600 127V;127V;Lavadoras;84243010;7898152182872;;1;18;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - semi intensivo
2014-05-16;FW004197;WAP PREMIER;WAP PREMIER;WAP PREMIER 2600 220V;220V;Lavadoras;84243010;7898152188928;;1;8.9;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
2014-05-16;FW004196;WAP PREMIER;WAP PREMIER;WAP PREMIER 2600 127V;127V;Lavadoras;84243010;7898152188911;;1;8.9;0;CATALOGO ABERTO;Estrangeira;DIY;lavadora - ocasional
2018-01-10;FW006008;WAP POWER SPEED;WAP POWER SPEED;WAP POWER SPEED 220V~ 60HZ;220V;Aspiradores;85081900;7898152186832;;1;8.75;6.5;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;aspirador - vertical
2018-01-10;FW006007;WAP POWER SPEED;WAP POWER SPEED;WAP POWER SPEED 127V~ 60HZ;127V;Aspiradores;85081900;7898152186825;;1;8.75;6.5;CATALOGO ABERTO;Estrangeira;SDA - MOTORS & COMFORT;aspirador - vertical
2024-07-19;FW010718;WAP POLITRIZ ROTATIVA WF PR01;WAP POLITRIZ ROTATIVA WF PR01;WAP POLITRIZ ROTATIVA WF PR01 220V;;Ferramentas;84672999;7899831338177;;1;1.8;0;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2024-07-19;FW010717;WAP POLITRIZ ROTATIVA WF PR01;WAP POLITRIZ ROTATIVA WF PR01;WAP POLITRIZ ROTATIVA WF PR01 127V;;Ferramentas;84672999;7899831338160;;1;1.8;0;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2023-11-21;FW010109;WAP PLAINA ELÉTRICA WF PE01;WAP PLAINA ELÉTRICA WF PE01;WAP PLAINA ELÉTRICA WF PE01 220V;220V;Ferramentas;84672999;7899831331727;;1;1.4;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2023-11-21;FW010106;WAP PLAINA ELÉTRICA WF PE01;WAP PLAINA ELÉTRICA WF PE01;WAP PLAINA ELÉTRICA WF PE01 127V;127V;Ferramentas;84672999;7899831331710;;1;1.4;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
